Base_Name,Total_Num,Daily_Raw
After Hours,2070978363,951778.0
Christmas & Chill,1904853104,4404667.0
Christmas Kisses,2181006289,5413196.0
Dangerous Woman,8496163255,3473112.0
My Everything,8329538235,3151583.0
Positions,6314839801,1678264.0
Starboy,1240900977,416991.0
Sweet Talker,1628383022,440245.0
Sweetener,5760234717,1428852.0
The Remix,43025440,5028.0
When Christmas Comes Around...,284576057,1787970.0
Wicked: For Good,76314716,593322.0
Wicked: OST,776089383,809020.0
Wicked: One Wonderful Night,18746220,77997.0
Yours Truly,2208276005,640445.0
Yours Truly (Tenth Anniversary Edition),2267721606,667892.0
k bye for now,344326657,87258.0
"thank u, next",9191301357,3237150.0
eternal sunshine deluxe: brighter days ahead,6303450558,4614885.0
