Song,Streams_Num,Daily_Raw
34+35,1150952789,287632
34+35 - live from Vevo,531771,2859
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",288583178,55185
7 rings,2735436173,867459
7 rings (feat. 2 Chainz) - Remix,28730171,5364
7 rings - live,14843660,4728
A Hand For Mrs. Claus,10854446,483
A Little More Homework (feat. Graham Phillips) - Single Version,3007399,190
A Wicked Good Finale (feat. Ariana Grande & Cynthia Erivo),2606003,12450
Adore,71320334,22770
All My Love,38806177,10483
All My Love (Remix),83229291,12107
All My Love - French Version,744859,107
Almost Is Never Enough (with Nathan Sykes),373190814,135488
Almost Is Never Enough - Soundtrack Version,8897158,854
Arturo Sandoval,3928648,1345
Baby I,167761459,52881
Baby I - Cosmic Dawn Radio Edit,220434,33
Baby I - Live from London,7529912,3881
Bad Decisions,118329637,29365
Bad To You (with Normani & Nicki Minaj),73475286,5758
Bang Bang,1648385362,491316
Bang Bang - 3LAU Extended Mix,110863,3
Bang Bang - 3LAU Remix,24445588,2261
Bang Bang - A Cappella,197604,352
Bang Bang - Dada Life Remix,6431126,215
Bang Bang - Imanos & Gramercy Remix,3253048,349
Bang Bang - Kat Krazy Extended Mix,177262,3
Bang Bang - Kat Krazy Remix,2469475,161
Bang Bang - Super Stylers Remix,1508689,110
Bang Bang - iLL BLU Mix Radio Edit,112814,2
Be Alright,325927215,54775
Be My Baby,137787172,79102
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",307781795,51329
Bed (feat. Ariana Grande),322269506,34971
Best Mistake,265889045,89492
Better Left Unsaid,36541592,9731
Brand New You (feat. Brynn Williams & Caitlin Gann),4622794,598
Break Free,1164507650,552274
Break Free - A Cappella,176159,320
Break Free - Zedd's Extended Mix,839186,2288
Break Your Heart Right Back,94269195,16734
Cadillac Song,4506957,4069
Come So Far (Got So Far to Go),5602704,470
Dance To This (feat. Ariana Grande),329328799,56553
Dancing Through Life,92814774,58209
Dangerous Woman,1533133740,730469
Daydreamin',231673900,83723
Daydreamin' - Live from London,8173119,4087
Dear Old Shiz,34722294,15045
December,99163019,15276
Defying Gravity,202563865,160638
Defying Gravity - Edit,21638010,28793
Die For You (with Ariana Grande) - Remix,1260262234,495991
Don't Call Me Angel (Charlie's Angels) (with Miley Cyrus & Lana Del Rey),418707570,59853
"E più ti penso - From ""Once Upon A Time In America""",31301931,3368
Every Day More Wicked,10741750,29621
Everyday,729308827,425714
"Faith - From ""Sing"" Original Motion Picture Soundtrack",117287145,28241
Focus,352865655,68725
For Good,33048952,133872
For Good - Edit,788799,8993
For Good - Live from the Gershwin Theatre,10629684,27551
For Good - Sing-Along,130795,507
Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre,3764872,10441
Get On Your Knees,98961497,11267
Give It Up (feat. Elizabeth Gillies & Ariana Grande),63370194,21881
